收入,单次总数,来源,,收入总数,,支出,用途,,总支出,17721.5,,剩余,270.5
10*40,400,每人10班费,,17992,,1000,元旦晚会食物,,,,,,
50*40,2000,每人50班费,,,,500,元旦晚会布置,,,,,,
,1000,比赛赢得,,,,268,元旦晚会礼物,,,,,现金,44
50*40,2000,每人50,,,,396,篮球赛买水 两次,,,,,银行卡,226.5
12*41,492,买书,,,,300,篮球队服,,,,,,
50*41,2050,,,,,142,杂物,,,,,,
50*41,2050,每人50,,,,204,买颜料,,,,,,
50*41,2050,每人50,,,,1119,元旦零食,,,,,,
50*41,2050,50,,,,12,喷漆,,,,,,
,2050,50,,,,120,买清扫工具,,,,,,
,200,班主任资助,,,,36,元旦装修,,,,,,
,600,班级奖金,,,,54,买拖把,,,,,,
,350,班级奖金,,,,18,喷漆,,,,,,
7.5*40,300,,,,,12,喷漆,, ,,,,
,200,退押金,,,,600,42本书加快递费,,,,,,
,200,班级奖金,,,,100,复印订金,,,,,,
,,,,,,21,复印6s,,,,,,
,,,,,,175,复印书,,,,,,
,,,,,,21,挂钩费,,,,,,
,,,,,,50,打印,,,,,,
,,,,,,146,打印,,,,,,
,,,,,,42,打印,,,,,,
,,,,,,260,买纸,,,,,,
,,,,,,48,买笔,,,,,,
,,,,,,26,收纳盒,,,,,,
,,,,,,118,买彩铅,,,,,,
,,,,,,16,买扎带,,,,,,
,,,,,,10,买笔,,,,,,
,,,,,,41,买颜料,,,,,,
,,,,,,200,买水,,,,,,
,,,,,,10,买双面胶,,,,,,
,,,,,,5,元件报销,,,,,,
,,,,,,19,买软件,,,,,,
,,,,,,7.5,喷漆,,,,,,
,,,,,,27,扎带,,,,,,
,,,,,,38,砂纸色带,,,,,,
,,,,,,180,复印,,,,,,
,,,,,,28,色带,,,,,,
,,,,,,258.6,买烧烤杂物,,,,,,
,,,,,,15,线头,,,,,,
,,,,,,35.8,插头,,,,,,
,,,,,,14.8,碳,,,,,,
,,,,,,1682.3,出游费用,,,,,,
,,,,,,118,复印加顺丰,,,,,,
,,,,,,45,复印加邮费,,,,,,
,,,,,,266,电池加铜线,,,,,,
,,,,,,26,电池铜线邮费,,,,,,
,,,,,,34,复印,,,,,,
,,,,,,814,复印,,,,,,
,,,,,,147,复印,,,,,,
,,,,,,40,复印,,,,,,
,,,,,,1044,买队服,,,,,,
,,,,,,48,贺卡,,,,,,
,,,,,,165,月饼,,,,,,
,,,,,,72,买花,,,,,,
,,,,,,68,复印,,,,,,
,,,,,,62,买水,,,,,,
,,,,,,176,报销,,,,,,
,,,,,,54.4,复印,,,,,,
,,,,,,60,复印,,,,,,
,,,,,,10,买模板,,,,,,
,,,,,,660,元旦花销,,,,,,
,,,,,,1458,复印,,,,,,
,,,,,,231,复印,,,,,,
,,,,,,291.6,复印,,,,,,
,,,,,,48,复印,,,,,,
,,,,,,63,复印,,,,,,
,,,,,,172,复印,,,,,,
,,,,,,30,顺丰邮费,,,,,,
,,,,,,265,烧烤用品,,,,,,
,,,,,,202,押金,,,,,,
,,,,,,2370,自助餐,,,,,,
,,,,,,241.5,复印工作页,,,,,,
,,,,,,64,慰劳古烨,,,,,,
wdnmd
